Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Cruzeiro;3513405;cruzeirense;THALES GABRIEL FONSECA;305.699;82571;252.01;97.6;0.788;14.05;14.734.817.894;26145.67
Cubatão;3513504;cubatense;ADEMARIO DA SILVA OLIVEIRA;142.879;131626;830.91;98;0.737;13.58;9.851.541.083;95822.18
Cunha;3513603;cunhense;ROLIEN GUARDA GARCIA;1407.25;21459;15.54;98;0.684;4.15;5.132.950.024;11105.76
Descalvado;3513702;descalvadense;ANTONIO CARLOS RESCHINI;753.706;33910;41.2;98.6;0.76;8.36;9.257.565.685;49281.66
Diadema;3513801;diademense;LAURO MICHELS SOBRINHO;30.732;426757;12536.99;96.8;0.757;12.41;121.270.415.444;32097.86
Dirce Reis;3513850;dircense;EUCLIDES SCRIBONI BENINI;88.133;1799;19.12;100;0.741;111.11;1.293.980.784;33922.56
Divinolândia;3513900;divinolandense;NAIEF HADDAD NETO;223.749;11086;50.46;98.6;0.734;8.62;3.118.057.134;26338.37
Dobrada;3514007;dobradense;JOSÉ CARLOS SIMÃO;149.729;9010;53.02;99.5;0.718;16.67;1.890.998.197;13385.27
Dois Córregos;3514106;dois-correguense;RUY DIOMEDES FAVARO;632.972;27512;39.12;96.7;0.725;11.98;6.973.672.159;24315.12
Dolcinópolis;3514205;dolcinopolense;AMÉRICO RIBEIRO DO NASCIMENTO;77.939;2112;26.76;100;0.742;-;981.463.877;20999.28
Dourado;3514304;douradense;LUIZ ANTONIO ROGANTE JUNIOR;205.874;8878;41.82;100;0.738;31.25;274.537.845;66791.85
Dracena;3514403;dracenense;JULIANO BRITO BERTOLINI;487.688;47043;88.64;98.2;0.776;10.18;10.936.069.292;25188.56
Duartina;3514502;duartinense;ADERALDO PEREIRA DE SOUZA JUNIOR;264.557;12433;46.31;98.3;0.748;6.8;3.479.601.249;20076.39
Dumont;3514601;dumonense;ALAN FRANCISCO FERRACINI;111.376;10023;73.13;97.6;0.744;9.71;2.584.689.081;24711.75
Echaporã;3514700;echaporense;LUIS GUSTAVO EVANGELISTA;515.258;6064;12.26;98.8;0.745;24.69;2.162.941.985;20504.3
Eldorado;3514809;eldoradense;DURVAL ADELIO DE MORAIS;1.654.256;15544;8.85;97.3;0.691;14.56;3.975.467.225;23452.26
Elias Fausto;3514908;elias-faustense;MAURICIO BARONI BERNARDINETTI;202.36;17936;77.83;97.3;0.695;14.42;5.215.579.784;36355.8
Elisiário;3514924;elisiarense;RUBENS FRANCISCO;93.98;3697;33.2;98.6;0.747;26.32;1.507.041.166;19196.39
Embaúba;3514957;embaubense;ROGERIO CLEBER PERES;83.129;2449;29.15;100;0.73;55.56;1.403.784.829;21949.7
Embu das Artes;3515004;embuense;CLAUDINEI ALVES DOS SANTOS;70.398;276535;3412.89;96.8;0.735;11.41;55.980.658.715;43860.23
Embu-Guaçu;3515103;embu-guaçuense;MARIA LUCIA DA SILVA MARQUES;155.641;69901;403.32;97.1;0.749;5.95;12.715.569.309;15284.76
Emilianópolis;3515129;emilianópolense;JOÃO BATISTA AMARAL;225.167;3227;13.45;97.3;0.727;25;1.395.866.666;18994.35
Engenheiro Coelho;3515152;engenheiro coelhense;PEDRO FRANCO DE OLIVEIRA;109.941;21249;142.99;98.5;0.732;7.35;502.249.802;30601.28
Espírito Santo do Pinhal;3515186;pinhalense;SERGIO DEL BIANCHI JUNIOR;389.235;44471;107.61;97.9;0.787;4.18;9.830.415.753;28503.78
